actor=0 SupportMetrics { calls: 2800, hits: 2095, builds: 705, evictions: 641, oversized: 0, peak_retained_bytes: 338760 }
actor=9 SupportMetrics { calls: 2800, hits: 2087, builds: 713, evictions: 649, oversized: 0, peak_retained_bytes: 337760 }
actor=10 SupportMetrics { calls: 2800, hits: 2137, builds: 663, evictions: 599, oversized: 0, peak_retained_bytes: 339184 }
actor=4 SupportMetrics { calls: 2800, hits: 2155, builds: 645, evictions: 581, oversized: 0, peak_retained_bytes: 337112 }
actor=14 SupportMetrics { calls: 2800, hits: 2148, builds: 652, evictions: 588, oversized: 0, peak_retained_bytes: 338976 }
actor=1 SupportMetrics { calls: 2800, hits: 2105, builds: 695, evictions: 631, oversized: 0, peak_retained_bytes: 338368 }
actor=17 SupportMetrics { calls: 2800, hits: 2120, builds: 680, evictions: 616, oversized: 0, peak_retained_bytes: 338360 }
actor=13 SupportMetrics { calls: 2800, hits: 2123, builds: 677, evictions: 613, oversized: 0, peak_retained_bytes: 339024 }
actor=19 SupportMetrics { calls: 2800, hits: 2114, builds: 686, evictions: 622, oversized: 0, peak_retained_bytes: 338968 }
actor=26 SupportMetrics { calls: 2800, hits: 2211, builds: 589, evictions: 525, oversized: 0, peak_retained_bytes: 338128 }
actor=5 SupportMetrics { calls: 2800, hits: 2160, builds: 640, evictions: 576, oversized: 0, peak_retained_bytes: 339712 }
actor=22 SupportMetrics { calls: 2800, hits: 2057, builds: 743, evictions: 679, oversized: 0, peak_retained_bytes: 337872 }
actor=12 SupportMetrics { calls: 2800, hits: 2062, builds: 738, evictions: 674, oversized: 0, peak_retained_bytes: 337064 }
actor=2 SupportMetrics { calls: 2800, hits: 2149, builds: 651, evictions: 587, oversized: 0, peak_retained_bytes: 339576 }
actor=23 SupportMetrics { calls: 2800, hits: 2154, builds: 646, evictions: 582, oversized: 0, peak_retained_bytes: 339408 }
actor=29 SupportMetrics { calls: 2800, hits: 2173, builds: 627, evictions: 563, oversized: 0, peak_retained_bytes: 339208 }
actor=15 SupportMetrics { calls: 2800, hits: 2093, builds: 707, evictions: 643, oversized: 0, peak_retained_bytes: 339392 }
actor=30 SupportMetrics { calls: 2800, hits: 2082, builds: 718, evictions: 654, oversized: 0, peak_retained_bytes: 337672 }
actor=16 SupportMetrics { calls: 2800, hits: 2105, builds: 695, evictions: 631, oversized: 0, peak_retained_bytes: 338400 }
actor=24 SupportMetrics { calls: 2800, hits: 2137, builds: 663, evictions: 599, oversized: 0, peak_retained_bytes: 338016 }
actor=18 SupportMetrics { calls: 2800, hits: 2187, builds: 613, evictions: 549, oversized: 0, peak_retained_bytes: 338688 }
actor=11 SupportMetrics { calls: 2800, hits: 2149, builds: 651, evictions: 587, oversized: 0, peak_retained_bytes: 338664 }
actor=25 SupportMetrics { calls: 2800, hits: 2118, builds: 682, evictions: 618, oversized: 0, peak_retained_bytes: 338040 }
actor=3 SupportMetrics { calls: 2800, hits: 2110, builds: 690, evictions: 626, oversized: 0, peak_retained_bytes: 337760 }
actor=28 SupportMetrics { calls: 2800, hits: 2152, builds: 648, evictions: 584, oversized: 0, peak_retained_bytes: 337808 }
actor=7 SupportMetrics { calls: 2800, hits: 2137, builds: 663, evictions: 599, oversized: 0, peak_retained_bytes: 339072 }
actor=21 SupportMetrics { calls: 2800, hits: 2123, builds: 677, evictions: 613, oversized: 0, peak_retained_bytes: 336584 }
actor=31 SupportMetrics { calls: 2800, hits: 2098, builds: 702, evictions: 638, oversized: 0, peak_retained_bytes: 336704 }
actor=6 SupportMetrics { calls: 2800, hits: 2052, builds: 748, evictions: 684, oversized: 0, peak_retained_bytes: 337560 }
actor=27 SupportMetrics { calls: 2800, hits: 2109, builds: 691, evictions: 627, oversized: 0, peak_retained_bytes: 340832 }
actor=30 SupportMetrics { calls: 2800, hits: 2082, builds: 718, evictions: 654, oversized: 0, peak_retained_bytes: 337672 }
actor=16 SupportMetrics { calls: 2800, hits: 2105, builds: 695, evictions: 631, oversized: 0, peak_retained_bytes: 338400 }
actor=14 SupportMetrics { calls: 2800, hits: 2148, builds: 652, evictions: 588, oversized: 0, peak_retained_bytes: 338976 }
actor=5 SupportMetrics { calls: 2800, hits: 2160, builds: 640, evictions: 576, oversized: 0, peak_retained_bytes: 339712 }
actor=25 SupportMetrics { calls: 2800, hits: 2118, builds: 682, evictions: 618, oversized: 0, peak_retained_bytes: 338040 }
actor=17 SupportMetrics { calls: 2800, hits: 2120, builds: 680, evictions: 616, oversized: 0, peak_retained_bytes: 338360 }
actor=26 SupportMetrics { calls: 2800, hits: 2211, builds: 589, evictions: 525, oversized: 0, peak_retained_bytes: 338128 }
actor=2 SupportMetrics { calls: 2800, hits: 2149, builds: 651, evictions: 587, oversized: 0, peak_retained_bytes: 339576 }
actor=11 SupportMetrics { calls: 2800, hits: 2149, builds: 651, evictions: 587, oversized: 0, peak_retained_bytes: 338664 }
actor=18 SupportMetrics { calls: 2800, hits: 2187, builds: 613, evictions: 549, oversized: 0, peak_retained_bytes: 338688 }
actor=4 SupportMetrics { calls: 2800, hits: 2155, builds: 645, evictions: 581, oversized: 0, peak_retained_bytes: 337112 }
actor=13 SupportMetrics { calls: 2800, hits: 2123, builds: 677, evictions: 613, oversized: 0, peak_retained_bytes: 339024 }
actor=10 SupportMetrics { calls: 2800, hits: 2137, builds: 663, evictions: 599, oversized: 0, peak_retained_bytes: 339184 }
actor=9 SupportMetrics { calls: 2800, hits: 2087, builds: 713, evictions: 649, oversized: 0, peak_retained_bytes: 337760 }
actor=0 SupportMetrics { calls: 2800, hits: 2095, builds: 705, evictions: 641, oversized: 0, peak_retained_bytes: 338760 }
actor=27 SupportMetrics { calls: 2800, hits: 2109, builds: 691, evictions: 627, oversized: 0, peak_retained_bytes: 340832 }
actor=31 SupportMetrics { calls: 2800, hits: 2098, builds: 702, evictions: 638, oversized: 0, peak_retained_bytes: 336704 }
actor=19 SupportMetrics { calls: 2800, hits: 2114, builds: 686, evictions: 622, oversized: 0, peak_retained_bytes: 338968 }
actor=12 SupportMetrics { calls: 2800, hits: 2062, builds: 738, evictions: 674, oversized: 0, peak_retained_bytes: 337064 }
actor=7 SupportMetrics { calls: 2800, hits: 2137, builds: 663, evictions: 599, oversized: 0, peak_retained_bytes: 339072 }
actor=20 SupportMetrics { calls: 2800, hits: 2110, builds: 690, evictions: 626, oversized: 0, peak_retained_bytes: 340416 }
actor=1 SupportMetrics { calls: 2800, hits: 2105, builds: 695, evictions: 631, oversized: 0, peak_retained_bytes: 338368 }
actor=21 SupportMetrics { calls: 2800, hits: 2123, builds: 677, evictions: 613, oversized: 0, peak_retained_bytes: 336584 }
actor=6 SupportMetrics { calls: 2800, hits: 2052, builds: 748, evictions: 684, oversized: 0, peak_retained_bytes: 337560 }
actor=22 SupportMetrics { calls: 2800, hits: 2057, builds: 743, evictions: 679, oversized: 0, peak_retained_bytes: 337872 }
actor=24 SupportMetrics { calls: 2800, hits: 2137, builds: 663, evictions: 599, oversized: 0, peak_retained_bytes: 338016 }
actor=23 SupportMetrics { calls: 2800, hits: 2154, builds: 646, evictions: 582, oversized: 0, peak_retained_bytes: 339408 }
actor=29 SupportMetrics { calls: 2800, hits: 2173, builds: 627, evictions: 563, oversized: 0, peak_retained_bytes: 339208 }
actor=3 SupportMetrics { calls: 2800, hits: 2110, builds: 690, evictions: 626, oversized: 0, peak_retained_bytes: 337760 }
actor=28 SupportMetrics { calls: 2800, hits: 2152, builds: 648, evictions: 584, oversized: 0, peak_retained_bytes: 337808 }
actor=15 SupportMetrics { calls: 2800, hits: 2093, builds: 707, evictions: 643, oversized: 0, peak_retained_bytes: 339392 }
actor=8 SupportMetrics { calls: 2800, hits: 2095, builds: 705, evictions: 641, oversized: 0, peak_retained_bytes: 339976 }
actor=11 SupportMetrics { calls: 2800, hits: 2149, builds: 651, evictions: 587, oversized: 0, peak_retained_bytes: 338664 }
actor=8 SupportMetrics { calls: 2800, hits: 2095, builds: 705, evictions: 641, oversized: 0, peak_retained_bytes: 339976 }
actor=2 SupportMetrics { calls: 2800, hits: 2149, builds: 651, evictions: 587, oversized: 0, peak_retained_bytes: 339576 }
actor=10 SupportMetrics { calls: 2800, hits: 2137, builds: 663, evictions: 599, oversized: 0, peak_retained_bytes: 339184 }
actor=27 SupportMetrics { calls: 2800, hits: 2109, builds: 691, evictions: 627, oversized: 0, peak_retained_bytes: 340832 }
actor=13 SupportMetrics { calls: 2800, hits: 2123, builds: 677, evictions: 613, oversized: 0, peak_retained_bytes: 339024 }
actor=31 SupportMetrics { calls: 2800, hits: 2098, builds: 702, evictions: 638, oversized: 0, peak_retained_bytes: 336704 }
actor=20 SupportMetrics { calls: 2800, hits: 2110, builds: 690, evictions: 626, oversized: 0, peak_retained_bytes: 340416 }
actor=26 SupportMetrics { calls: 2800, hits: 2211, builds: 589, evictions: 525, oversized: 0, peak_retained_bytes: 338128 }
actor=29 SupportMetrics { calls: 2800, hits: 2173, builds: 627, evictions: 563, oversized: 0, peak_retained_bytes: 339208 }
actor=16 SupportMetrics { calls: 2800, hits: 2105, builds: 695, evictions: 631, oversized: 0, peak_retained_bytes: 338400 }
actor=21 SupportMetrics { calls: 2800, hits: 2123, builds: 677, evictions: 613, oversized: 0, peak_retained_bytes: 336584 }
actor=18 SupportMetrics { calls: 2800, hits: 2187, builds: 613, evictions: 549, oversized: 0, peak_retained_bytes: 338688 }
actor=19 SupportMetrics { calls: 2800, hits: 2114, builds: 686, evictions: 622, oversized: 0, peak_retained_bytes: 338968 }
actor=22 SupportMetrics { calls: 2800, hits: 2057, builds: 743, evictions: 679, oversized: 0, peak_retained_bytes: 337872 }
actor=28 SupportMetrics { calls: 2800, hits: 2152, builds: 648, evictions: 584, oversized: 0, peak_retained_bytes: 337808 }
actor=5 SupportMetrics { calls: 2800, hits: 2160, builds: 640, evictions: 576, oversized: 0, peak_retained_bytes: 339712 }
actor=0 SupportMetrics { calls: 2800, hits: 2095, builds: 705, evictions: 641, oversized: 0, peak_retained_bytes: 338760 }
actor=7 SupportMetrics { calls: 2800, hits: 2137, builds: 663, evictions: 599, oversized: 0, peak_retained_bytes: 339072 }
actor=17 SupportMetrics { calls: 2800, hits: 2120, builds: 680, evictions: 616, oversized: 0, peak_retained_bytes: 338360 }
actor=1 SupportMetrics { calls: 2800, hits: 2105, builds: 695, evictions: 631, oversized: 0, peak_retained_bytes: 338368 }
actor=23 SupportMetrics { calls: 2800, hits: 2154, builds: 646, evictions: 582, oversized: 0, peak_retained_bytes: 339408 }
actor=6 SupportMetrics { calls: 2800, hits: 2052, builds: 748, evictions: 684, oversized: 0, peak_retained_bytes: 337560 }
actor=3 SupportMetrics { calls: 2800, hits: 2110, builds: 690, evictions: 626, oversized: 0, peak_retained_bytes: 337760 }
actor=24 SupportMetrics { calls: 2800, hits: 2137, builds: 663, evictions: 599, oversized: 0, peak_retained_bytes: 338016 }
actor=4 SupportMetrics { calls: 2800, hits: 2155, builds: 645, evictions: 581, oversized: 0, peak_retained_bytes: 337112 }
actor=12 SupportMetrics { calls: 2800, hits: 2062, builds: 738, evictions: 674, oversized: 0, peak_retained_bytes: 337064 }
actor=15 SupportMetrics { calls: 2800, hits: 2093, builds: 707, evictions: 643, oversized: 0, peak_retained_bytes: 339392 }
actor=25 SupportMetrics { calls: 2800, hits: 2118, builds: 682, evictions: 618, oversized: 0, peak_retained_bytes: 338040 }
actor=30 SupportMetrics { calls: 2800, hits: 2082, builds: 718, evictions: 654, oversized: 0, peak_retained_bytes: 337672 }
actor=14 SupportMetrics { calls: 2800, hits: 2148, builds: 652, evictions: 588, oversized: 0, peak_retained_bytes: 338976 }
actor=9 SupportMetrics { calls: 2800, hits: 2087, builds: 713, evictions: 649, oversized: 0, peak_retained_bytes: 337760 }
actor=10 SupportMetrics { calls: 2800, hits: 2137, builds: 663, evictions: 599, oversized: 0, peak_retained_bytes: 339184 }
actor=6 SupportMetrics { calls: 2800, hits: 2052, builds: 748, evictions: 684, oversized: 0, peak_retained_bytes: 337560 }
actor=16 SupportMetrics { calls: 2800, hits: 2105, builds: 695, evictions: 631, oversized: 0, peak_retained_bytes: 338400 }
actor=13 SupportMetrics { calls: 2800, hits: 2123, builds: 677, evictions: 613, oversized: 0, peak_retained_bytes: 339024 }
actor=5 SupportMetrics { calls: 2800, hits: 2160, builds: 640, evictions: 576, oversized: 0, peak_retained_bytes: 339712 }
